id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,4537,92.2293165,64.01276874,0.719916226,4677,76.00452496,0.657536232,273.085,0.764509615,,1
2,2872,74.69188071,51.40045446,0.725552747,3015,60.47101762,0.713008937,208.317,0.831658201,1.453136582,1
3,3048,76.2931638,52.04349114,0.731210927,3132,62.29634124,,210.012,0.868433574,1.465950153,1
4,3073,77.03362772,51.92848667,0.738638695,3157,62.55129991,,210.657,0.870203116,1.48345605,1
5,3693,85.12478457,56.37402054,0.749281579,3802,68.5716679,,230.332,0.874743279,1.51000024,1
6,2990,77.41707342,50.9543441,0.752860889,3080,61.70077989,,216.93,0.798439143,1.519341968,1
7,3556,84.32356418,55.41306133,0.753761573,3636,67.28773901,,227.007,0.867147782,,1
8,3788,86.95241143,56.44476861,0.760664242,3866,69.44804818,0.80067639,235.476,0.85847279,,1
9,2629,74.13311404,48.07414422,,2790,57.8562595,0.640594542,207.325,0.768594199,,1
10,5719,106.7211415,68.97769987,,5819,85.33262539,0.754983498,281.839,0.904748313,,1
11,2665,74.36402121,48.05318758,,2777,58.25103765,0.596730855,202.456,0.817044617,,1
12,3231,81.3042004,52.4511359,,3330,64.13919994,0.614960031,218.773,0.848319358,,1
13,2805,77.04768244,49.24267814,,2950,59.76150034,0.603225807,209.823,0.800638639,,1
14,3265,83.37848692,52.76486452,,3420,64.47578703,0.575837743,227.853,0.790284652,1.580189539,1
15,4301,94.91539197,59.82281961,,4427,74.00137351,0.801229508,257.607,0.814449173,1.586608465,1
16,3393,84.05848002,52.95148583,,3477,65.72748113,0.68851461,224.485,0.846094886,1.587462159,1
17,3475,84.58114773,53.1912048,,3539,66.5169709,0.652214715,221.295,0.891705551,1.590134084,1
18,4577,98.35854914,60.7533301,,4652,76.33883282,0.591725921,259.184,0.856198377,1.618982021,1
19,3028,81.27755239,49.16736189,,3114,62.09162054,0.753608761,211.667,0.849296679,1.653079386,1
20,3552,88.02937756,53.17603697,,3654,67.24988374,0.623705004,232.122,0.82841931,1.65543321,1
21,3852,92.20828955,55.27701192,,4023,70.03226918,0.653989813,245.517,0.803032283,1.668112772,1
22,3163,83.82327008,50.02465547,,3232,63.46067034,0.584441981,221.38,0.811021355,1.675639128,1
23,3910,92.58932307,55.11140291,,4067,70.5575412,0.622809812,252.523,0.770521464,1.680039305,1
24,3505,88.0017938,52.27703901,,3586,66.80347749,0.59477346,229.044,0.839576062,1.683373724,1
25,2647,76.78904267,45.52911212,0.805267574,2710,58.05398414,0.59819209,200.587,0.82671961,1.686592141,1
26,3606,88.77990424,52.5886165,0.805682077,3658,67.7591455,0.593092105,227.906,0.872416898,1.688196232,1
27,4136,95.74362731,56.41101106,0.807995866,4217,72.56802848,0.765925926,247.294,0.84989101,1.697250688,1
28,3951,94.12263105,55.39145755,0.808494981,4045,70.92650732,0.606912442,247.032,0.81359911,1.699226473,1
29,3867,92.47994738,54.37937746,0.808851743,3960,70.16849236,0.781212121,240.315,0.841438302,1.700643731,1
30,3177,84.54078476,49.52659704,0.810433374,3247,63.60095938,0.81712963,219.663,0.827395697,1.706977459,1
31,3987,94.17620603,54.94802805,0.812142038,4043,71.2489022,0.594364937,240.915,0.863233761,1.713914209,1
32,4038,95.2470937,55.21937217,0.814795388,4126,71.70314694,0.63610586,244.287,0.850306436,1.724885488,1
33,3426,88.92210563,51.48838799,0.815307665,3548,66.04633737,0.563208943,232.94,0.793430846,1.727032232,1
34,3938,94.26939767,54.30216853,0.817427302,4009,70.80972622,0.841452992,238.395,0.870745605,1.736015342,1
35,3636,91.40038634,52.30281469,0.820087291,3723,68.0404217,0.75529705,235.385,0.824662357,1.747523281,1
36,2965,82.57014058,47.15593922,0.820879385,3068,61.44229203,0.607581967,214.44,0.810257323,1.75100193,1
37,3335,87.97830505,50.23674047,0.820941139,3459,65.1632863,0.625,229.787,0.793697097,1.751274152,1
38,3277,87.3845036,49.64746533,0.822925332,3408,64.59416373,0.630192308,227.562,0.795219134,1.760099997,1
39,3446,89.40212268,50.79059698,0.822949871,3533,66.23883658,0.808350927,229.852,0.819650226,1.760210118,1
40,3697,91.87618278,52.09462225,0.823711598,3772,68.60879387,0.849885058,231.291,0.868444056,1.763640445,1
41,2953,82.87781414,46.99201881,0.823715315,3043,61.31783081,0.692217534,214.338,0.807746273,1.763657239,1
42,3670,92.21294021,51.85164606,0.826931032,3772,68.35780226,0.736947791,235.534,0.831320927,1.778399476,1
43,3415,89.49579817,50.31824228,0.826973165,3534,65.94022327,0.687399356,232.838,0.791576426,1.778595478,1
44,3860,94.63650283,53.13975738,0.827466978,3942,70.10495448,0.815722739,242.845,0.822505549,1.780898286,1
45,3271,87.41286344,49.06935374,0.827577394,3391,64.53500252,0.671387521,226.793,0.799155176,1.781414606,1
46,3657,92.43690606,51.86429927,0.827763047,3725,68.23662517,0.632152118,234.047,0.838935683,1.782283909,1
47,3494,90.07527599,50.52519208,0.827868744,3580,66.69856797,0.725498339,227.934,0.84511253,1.782779486,1
48,3899,95.37622831,53.32667827,0.829087297,3977,70.45822156,0.6421278,240.44,0.847519424,1.788527458,1
49,2522,77.09079003,42.87187941,0.831100711,2579,56.66665803,0.598765432,197.015,0.816500322,1.798166796,1
50,3812,95.00364795,52.78100382,0.831470984,3903,69.66770518,0.596557121,244.123,0.803795109,1.799959097,1
51,3210,87.98665592,48.80975228,0.832023494,3351,63.93042264,0.613884108,226.454,0.786601742,1.802645,1
52,5425,113.5134456,62.96183004,0.832074376,5591,83.11031543,0.560897436,292.569,0.796439869,1.802893047,1
53,3293,88.11593906,48.84442145,0.832303678,3358,64.75166269,0.576505602,222.373,0.836830469,1.804012341,1
54,4935,108.6173366,60.15695607,0.832621093,5193,79.26813454,0.601829268,290.143,0.736669733,1.805565702,1
55,3869,96.60035011,53.42470023,0.833148913,4005,70.18663547,0.727255639,248.428,0.787784638,1.808158955,1
56,3900,95.17012555,52.51306281,0.833989075,3980,70.4672564,0.782818145,236.767,0.874242929,1.812313365,1
57,4571,103.8253162,57.17941587,0.834685363,4658,76.28878003,0.717582418,261.064,0.842805012,1.815781338,1
58,3746,93.9988852,51.71568655,0.835050434,3847,69.06196735,0.635345997,239.34,0.821763909,1.817608766,1
59,4607,105.4041588,57.71611459,0.836760131,4727,76.58860609,0.590641026,268.84,0.801014362,1.826251811,1
60,3466,91.05330784,49.75342248,0.837510773,3539,66.43077797,0.849509804,228.007,0.83780329,1.830091344,1
61,4294,101.45421,55.34456288,0.838102538,4375,73.94112932,0.596388889,254.699,0.831797143,1.833137796,1
62,3992,97.47084902,53.15412282,0.838219144,4057,71.29356396,0.584908425,243.28,0.847593431,1.833740148,1
63,4404,102.8634748,55.96797915,0.839020612,4535,74.88222055,0.613541376,260.512,0.815458208,1.837898676,1
64,4399,102.4485604,55.73154196,0.839088221,4496,74.83970041,0.755841924,257.268,0.835203461,1.838250957,1
65,4042,98.37593738,53.45686204,0.839478002,4144,71.73865234,0.749351131,249.61,0.815233866,1.840286422,1
66,3733,94.53973823,51.36464535,0.839530377,3802,68.94202797,0.61907131,234.817,0.850763371,1.840560518,1
67,3871,96.33549432,52.31804963,0.839679822,3964,70.2047739,0.593256705,240.094,0.843860039,1.84134338,1
68,4126,99.49226615,53.87480874,0.84070239,4265,72.48024808,0.622886473,253.076,0.80953786,1.846730754,1
69,3886,97.77562771,52.84771577,0.841344086,4032,70.340663,0.733069232,251.165,0.774095281,1.850139146,1
70,3931,97.08081574,52.43244079,0.841606851,4003,70.74676424,0.577578607,242.064,0.843048377,1.851541036,1
71,3850,96.40313032,52.0250802,0.841881949,3942,70.01408606,0.671550672,241.481,0.829668616,1.853012623,1
72,4676,106.8064769,57.61952234,0.842001029,4814,77.16001627,0.666096866,274.007,0.782638217,1.853650857,1
73,3764,96.23547918,51.91358009,0.842021957,3864,69.22769422,0.55762963,245.108,0.787307713,1.8537631,1
74,3668,94.00787826,50.70506339,0.84206865,3764,68.33917361,0.677377655,239.356,0.804545396,1.854013623,1
75,4425,104.2664186,56.20161967,0.842293366,4560,75.06054213,0.774684874,266.82,0.781063565,1.855220886,1
76,4483,104.3280876,56.11813541,0.843008304,4598,75.55086286,0.58785733,269.116,0.777856643,1.859079722,1
77,4196,100.7501023,54.05545555,0.843881227,4280,73.09249708,0.820332356,249.882,0.844452833,1.863828568,1
78,4409,103.6999129,55.28355112,0.846045387,4519,74.92471657,0.600108888,263.424,0.798434479,1.875782413,1
79,4702,106.8208342,56.88935479,0.846387239,4779,77.37423563,0.646323024,265.151,0.840438522,1.877694599,1
80,4893,108.9832503,58.02999061,0.846450727,4979,78.93010257,0.625223614,268.932,0.850158921,1.878050455,1
81,4108,101.3157423,53.87284326,0.846912546,4253,72.32197487,0.589467642,256.915,0.782098362,1.880645909,1
82,3797,96.14211158,51.05518917,0.84734752,3872,69.53050087,0.711581709,237.412,0.846535408,1.883101662,1
83,3663,94.00143053,49.88557273,0.847566309,3738,68.29257978,0.753703704,230.804,0.864092271,1.884341011,1
84,3502,93.5356072,49.58314468,0.847935673,3653,66.77488215,0.645054338,240.546,0.760553426,1.886439592,1
85,3866,98.2198269,52.02727997,0.848183557,4003,70.15941904,0.774439103,247.889,0.790600715,1.88785243,1
86,4181,101.1105249,53.53444948,0.848331996,4281,72.96173337,0.642242704,251.05,0.833622792,1.88870019,1
87,3730,95.97894614,50.81390793,0.848355093,3787,68.91432001,0.568597561,236.813,0.835810103,1.888832212,1
